,poetry,text
0,گفت : ای صِدّیق آخِر گفتمت / که مرا انباز کن در مکرمت,حضرت محمّد مصطفی (ص) گفت : ای صدّیق (ابوبکر) آخر به تو گفتم که مرا نیز در این کار جوانمردانه شریک کن .
1,گفت : ما دو بندگانِ کویِ تو / کردمش آزاد من بر رویِ تو,ابوبکر گفت : ما هر دو غلامِ آستانِ کویِ تو هستیم . من بلال را به خاطر گُلِ رویِ تو آزاد کردم .
2,تو مرا می دار بنده و یارِ غار / هیچ آزادی نخواهم ، زینهار,تو مرا به عنوان غلام نزدِ خود نگهدار . من ابداََ هیچ نوع آزادی از تو نمی خواهم .
3,که مرا از بندگیت آزادی است / بی تو بر من محنت و بی دادی است,زیرا آزادی من در اینست که غلامِ تو باشم . بدون وجود تو زندگی برای من مایۀ رنج و حرمان و ستم است .
4,این جهان را زنده کرده زِ اصطفا / خاص کرده عام را ، خاصه مرا,ای پیامبری که با برگزیده شدنت از سویِ حضرت حق ، جهان را زنده کرده ای . و عوام النّاس را به مرتبۀ بندگان خاصِ الهی رسانده ای . بویژه مرا چنین کرده ای .
5,1080) خواب ها می دیدم جانم در شباب / که سلامم کرد قرصِ آفتاب,جانِ من به دورانِ جوانی رویاهایی می دید . مثلاََ می دید که چشمۀ خورشید بر من سلام می کند .
6,1081) از زمینم برکشید او بر سما / همرهِ او گشته بودم ز ارتقا,و می دیدم که خورشید مرا از زمین برکند و به فرازِ آسمان بُرد . چنانکه در بلندی و رفعت همطرازِ او شده بودم .
7,1082) گفتم : این ماخولیا بود و مُحال / هیچ گردد مستحیلی وصفِ حال ؟,امّا هر بار که از خواب بیدار می شدم با خود می گفتم : این صحنه های رویایی محال است که تحقّق عینی یابد . بلکه نوعی مالیخولیاست که بر مغزم عارض شده است . زیرا مگر ممکن است که امری محال نقدِ حال واقع شود .
8,1083) چون تو را دیدم ، بدیدم خویش را / آفرین آن آینۀ خوش کیش را,همینکه تو را دیدم . یعنی ای پیامبری که به منزلۀ خورشید معنوی هستی . به محضِ آنکه تو را دیدم . حقیقتِ وجود خود را پیدا کردم . یعنی دریافتم که حقیقت انسان ، پوست و گوشت و استخوان نیست . بلکه گوهری است لطیف و نورانی . زهی بر آن آینۀ حقیقت نمایی که حقیقت را نشان داد .
9,1084) چون تو را دیدم ، مُحالم حال شد / جانِ من مُستَغرقِ اِجلال شد,همینکه تو را دیدم . امر محال برایم ممکن شد و جانم در دریای عظمت معنوی غرقه گشت . 
10,1085) چون تو را دیدم ، خود ای روحَ البِلاد /  مِهرِ این خورشید از چشمم فتاد,ای روحِ کالبدِ جهان ، به محض آنکه تو را دیدم . عشق خورشید طبیعت از نظرم افتاد و بی قدر شد .
11,1086) گشت عالی همّت از تو چشمِ من / جز به خواری ننگرد اندر چمن,چشمِ من از فیض دیدارت ، همّتی والا یافت . زین پس دیدگانِ من جز به حقارت به چمنزار ننگرد . یعنی تا قبل از آنکه به دیدارِ تو نائل شوم مجذوب زیبایی جهان بودم . امّا از وقتی که رویِ زیبای تو را دیدم دیگر زیبایی های جهان در نظرم رنگ باخته است .
12,1087) نور جُستم ، خود بدیدم نورِ نور / حُور جُستم ، خود بدیدم رَشکِ حُور,من در جستجوی نور بودم که نورالانوار را دیدم . نیز جویای حوریان بهشتی بودم که ناگهان صاحب جمالی را دیدم که حوریان بهشتی بر او غبطه می خورند .
13,1088) یُوسُفی جُستم لطیف و سیم تن / یُوسُفِستانی بدیدم در تو من,در جستجوی یوسفی زیبا و سپید اندام بودم که ناگاه در وجودِ تو شهر یوسفان را دیدم .
14,1089) در پیِ جنّت بُدم در جُست و جو / جنّتی بنمود از هر جُزوِ تو,من در جستجوی بهشت بودم که هر جزو از وجودِ تو بهشتی را به من نشان داد . یعنی ای محمّد (ص) وجود شریف تو آکنده از بهشت معرفت و فردوس صفا و وفاست .
15,1090) هست این نسبت به من مدح و ثنا / هست این نسبت به تو قدح و هِجا,این ستایشی که در حقِ تو کردم . نسبت به شأن نازل من مدح و ستایش محسوب می شود . امّ نسبت به شأن عالی تو نکوهش و بدگویی است .
16,1091) همچو مدحِ مردِ چوپانِ سلیم / مر خدا را پیشِ موسیِّ کلیم,مانند ستایش چوپان ساده لوحی که خدا را نزدِ موسای کلیم الله می ستود 
17,1092) که بجویم اِشپُشَت ، شیرت دهم / چارُقت دوزم من و پیشت نهم,چوپان می گفت : خداوندا تو کجایی که شپش هایت را در جامه ات پیدا کنم و شیر به تو دهم . چارُق تو را بدوزم و آن را جلو پایت جُفت کنم .
18,1093) قدحِ او را حق به مدحی بر گرفت / گر تو هم رحمت کنی ، نبوَد شگفت,حضرت حق ستایش های آن چوپان را که از نظر الفاظ و عبارات قدح آمیز و زننده بود به لطف خود ستایش محسوب داشت . اینک اگر تو (محمّد) به من رحم آوری و مدایح مرا که در خورِ شأن والای تو نیست . مدح بشمار آوری جای شگفتی نیست . زیرا تو رَحمَة لِلعالمین هستی .
19,1094) رحم فرما بر قصورِ فهم ها / ای ورایِ عقل ها و وهم ها,ای فراتر از عقول و اوهام بشری ، بر کوتاهی ادراک های بشری رحمت
20,1095) اَبُّهَاالعُشّاق اقبالی جدید / از جهانِ کهنۀ نوکُن رسید,ای عاشقان ، از جهان ازلی که همه چیز را نو می کند . اقبالی تازه رسید . 
21,1096) زآن جهان کو چارۀ بیچاره جُوست / صد هزاران نادرۀ دنیا در اوست,این اقبال تازه از جهانی رسید که چاره ساز کارِ بیچارگان است . و صدها هزار  حقایق شگفت انگیز و کمیاب در آن است .
22,1097) اَبشِرُوا یا قَومُ اِذ جاءَ الفَرَج / اِفرَحُوا یا قَومُ قَد زالَ الحَرَج,ای قوم ، مژده بادا که هنگام گشایش رسید . ای قوم شادمانی سر دهید که تنگی بر طرف شد .
23,1098) آفتابی رفت در کازۀ هِلال / در تقاضا که اَرِحنا یا بِلال,آفتابی به کوخِ هلال رفت تا این خواسته را گوید که ای بلال ، ما را برآسایان .
24,1099) زیرِ لب می گفتی از بیمِ عدو / کوریِ او بر مناره رَو ، بگو,ای بلال قبلاََ از ترس دشمن کافر ، نام حضرت حق را زیر لب می گفتی . ولی اینک به کوری چشمِ او بر فراز مناره برو و اذان بگو .
25,1100) می دمد در گوشِ هر غمگین ، بشیر / خیز ای مُدبِر ، رهِ اقبال گیر,بشارت دهنده در گوش هر شخص اندوهمندی چنین تَرنم می کند که : ای بدبخت ، برخیز و راه بخت و اقبال را پیش گیر . 
26,1101) ای در این حبس و در این گند و شُپُش / هین که تا کس نشنود رَستی ، خَمُش,ای بدبختی که در زندان نفسانیّات و در میان کثافات و شپش مانده ای . بهوش باش برای آنکه کسی از بدخواهان نشنود که تو از منجلاب نفسانیات رها شده ای .
27,1102) چون کنی خامُش کنون ؟ ای یارِ من / کز بُنِ هر مو برآمد طبل زن,ای یار من ، اینک که از بُنِ هر تارِ مویت طبّالی بر طبل می کوبد چگونه می توانی خاموش باشی ؟ 
28,1103) آنچنان کر شد عَدُوِّ رَشک خُو / گوید : این چندین دُهُل را بانگ کو ؟,دشمن حسود از شدّت حسادت چنان کر شده است که هر چند طبّالان را می بیند ولی بانگِ طبل را نمی شنود . پس صدای این همه طبل که می کوبند کو و کجاست ؟
29,1104) می زند بر رُوش رَیحان که طَری است / او ز کوری گوید : این آسیب چیست ؟,مثلاََ گُل و ریحان تر و تازه به صورتش می خورد . امّا او به سبب نابینایی می گوید : این دیگر چیست به صورتم می خورد و مزاحمم می شود ؟
30,1105) می شِکُنجد حور دستش می کشد / کور ، حیران کز چه دردم می کند ؟,یا مثلاََ زنی زیبارو دستش را وشگون می گیرد . امّا آن نابینا متحیّر و متغیّر می شود که این مزاحم کیست که مرا آزار می دهد ؟
31,1106) این کشاکش چیست بر دست و تنم ؟ / خفته ام ، بگذار تا خوابی کنم,آن نابینا می گوید این کشیدن و آزار دادن چیست که بر دست و بدنم عارض شده است ؟ من به خواب فرو رفته ام دست از سرم بردار تا بخوابم .
32,1107) آنکه در خوابش همی جویی ، وی است / چشم بگشا ، کآن مَهِ نیکو پی است,این همان کسی است که در رویا به دنبالش بودی . چشمانت را باز کن آن ماهِ خوش قَدَم در پیشِ توست .
33,1108) زآن ، بلاها بر عزیزان بیش بود / کآن تَجَمُّش یار با خوبان فزود,از آنرو بر عزیزان بیشتر بلا وارد می شود که حضرت معشوق با بندگان محبوب خود بیشتر عشقبازی می کند . 
34,1109) لاغ با خوبان کند در هر رهی / نیز کوران را بشوراند گهی,حضرت معشوق با بندگان محبوب خود در همۀ مراحل عمرشان بازی می کند . گاهی هم کوردلان را از طریق بلا و مصیبت شوریده حال و متغیّر کند . 
35,1110) خویش را یک دم بدبن کوران دهد / تا غریو از کویِ کوران برجهد,حضرت حق خود را از دریچۀ بلا لحظه ای به این کوردلان نشان می دهد تا فریادِ تضرّع و زاری آنان بلند شود .
36,1034) قهقه زد آن جهودِ سنگ دل / از سَرِ افسوس و طنز و غِشّ و غّل,آن کافرِ قسیّ القلب از رویِ استهزاء و شوخی و غرض ورزی و دشمنی قهقه ای سر داد .
37,1035) گفت صدّیقش که این خنده چه بود ؟ / در جوابِ پرسش ، او خنده فزود,صذّیق (ابوبکر) بدو گفت که این خنده چه بود که سر دادی ؟ آن کافر به جای جواب دادن به سؤال او خنده اش را زیادتر کرد .
38,1036) گفت : اگر جِدّت نبودی و غَرام / در خریداریِ این اَسوَدغلام,کافر به ابوبکر گفت : اگر در خرید این غلامِ سیاه اینقدر جدّیت و شیفتگی نشان نمی دادی .
39,1037) من ز استیزه نمی جوشیدمی / خود به عُشرِ اینش بفروشیدمی,من از رویِ دشمنی اینقدر جوش نمی زدم و حتّی حاضر بودم او را معادل یک دهم مالی که به من پرداختی بفروشم .
40,1038) کو به نزدِ من نیرزد نیم دانگ / تو گران کردی بهایش را به بانگ,زیرا بلال پیشِ من نیم پشیز هم نمی ارزد . امّا تو با داد و قالت قیمت او را بالا بردی .
41,1039) پس جوابش داد صدّیق ای غَبی / گوهری دادی به جَوزی چون صَبی,پس صدّیق (ابوبکر) در جواب آن کافر گفت : ای سبک مغز ، تو مانند کودکان ، جواهری را با دانه گردویی مبادله کردی .
42,1040) کو به نزدِ من همی ارزد دو کون / من به جانش ناظرستم ، تو به لَون,زیرا که بلال در نظر من به دو جهان می ارزد . امّا من به روح و باطنش نگاه می کنم و تو به قیافه و رنگ رویش . یعنی من باطن بینم و تو ظاهر بین
43,1041) زرِّ سرخ است او ، سیه تاب آمده / از برایِ رَشکِ این احمق کده,بلال به منزلۀ طلای نابی است که برای محفوظ ماندن از حسادت حاسدانی که در حماقت خانۀ دنیا می زیند ظاهرش سیاه شده است .
44,1042) دیدۀ این هفت رنگِ جسم ها / درنیاید زین نقاب آن روح را,چشم ظاهر که قادر به دیدن هفت رنگ است . از پشت این حجاب نمی تواند آن روح را ببیند. منظور بیت : چشم ظاهری و محسوس بین چون در حجاب جسم و مقتضیات عالَم محسوسات محصور شده نمی تواند حقیقت روح قدسی را بشناسد . چنانکه آن کافر ، مفتون ظاهر شده بود و لذا نتوانست ضمیر تابناک بلال را بشناسد.
45,1043) در مِکیسی کردیی در بَیع ، بیش / دادمی من جمله ملک و مالِ خویش,اگر در فروش بلال بیشتر چانه می زدی . همۀ ثروت و مال خود را به تو می دادم .
46,1044) ور مِکاس افزودیی ، من زاهتمام / دامنی زر کردمی از غیر وام,اگر باز بیشتر چانه می زدی . با سعی و تلاش ، یک دامن طلا از دیگران قرض می گرفتم و به تو می دادم .
47,1045) سهل دادی چون تو ارزان یافتی / دُر ندیدی ، حُقّه را نشکافتی,امّا چون تو بلال را ارزان به دست آورده ای . آسان هم از دستش دادی . و چون حُفّه را نگشودی مروارید را نیز در آن ندیدی . 
48,1046) حُقّۀ سَربسته جهلِ تو بداد / زود بینی که چه غَبنَت اوفتاد,حُقّۀ در بسته را از روی نادانی به من دادی . بزودی خواهی دانست که چه ضرری کردی .
49,1047) حُقّۀ پُر لعل را دادی به باد / همچو زنگی در سیه رویی تو شاد,حُقّۀ پُر از لعل را به باد دادی و مانند زنگیان به سیاهی چهرۀ خود می بالی و شادی سر می دهی .
50,1048) عاقبت واحَسرَتا گویی بسی / بخت و دولت را فروشَد خود کسی,بدان که سرانجام فریادِ دریغ و حسرت تو برخیزد . آیا ممکن است کسی بخت و اقبال حقیقی خود را بفروشد .
51,1049) بخت با جامۀ غلامانه رسید / چشمِ بدبختت بجز ظاهر ندید,بخت و اقبال حقیقی در لباس غلامان پیش تو آمد . ولی چشم ظاهربینِ تو بجز ظاهر چیز دیگری ندید .
52,1050) او نمودت بندگیِّ خویشتن / خویِ زشتت کرد با او مکر و فن,بلال ، صفت بندگی خود را به تو نشان داد . یعنی تو فقط بندگی او را دیدی نه آقایی او را . به همین جهت صفت ناپسند تو با او به مکر و حیله پرداخت
53,1051) این سیه اَسرارِ تن اسپید را / بُت پرستانه بگیر ای ژاژخا,ای یاوه گو اینک مانند بُت پرستان این غلام سپید تن و سیاه دل را بگیر . یعنی حالا که ظاهر غلام مرا که صورتی بس زیبا و رویی بغایت سفید دارد ولی دلش از کفر سیاه شده است دیدی . بگیر مالِ تو باشد .
54,1052) این تو را و آن مرا ، بُردیم سود / هین لَکُم دینُ وَلی دین ای جهود,این غلام را بگیر و در عوض بلال را به من بده . ما هر دو سود برده ایم . ای کافر بهوش باش که دین شما برای شما و دین من برای من است .
55,1053) خود سزایِ بت پرستان این بُوَد / جُلَّش اطلس ، اسبِ او چوبین بُوَد,سزای بُت پرستان یعنی ظاهر پرستان اینست که اسبی چوبین با زینی حریرین داشته باشند .
56,1054) همچو گورِ کافران پُر دود و نار / وز برون بَربَسته صد نقش و نگار,صورت بدون محتوا مانند قبر کافران است که اندرونش آکنده از دود و آتش است . ولی نمای بیرونی اش از نقش و نگارهای بسیار آراسته شده است .
57,1055) همچو مالِ ظالمان ، بیرون جمال / وز درونش خونِ مظلوم و وبال,نیز صورت ظاهر مانند اموال و دارایی های ستمگران است که ظاهری جذّاب و دلنشین دارد . امّا در باطن تشکیل شده است از خون مظلومان و عذاب اُخروی .
58,1056) چون منافق از برون صَوم و صَلات / وز درون خاکِ سیاهِ بی نبات,همچنین صورت ظاهر مانند اهل نفاق است که ظاهراََ روزه می گیرند و نماز می خوانند . امّا چون طاعت و عبادت آنان ریاکارانه است دلشان همچون خاک سیاهِ نامطلوبی است که هیچ گیاهی در آن نمی روید .
59,1057) همچو ابری ، خالیی پُر قَرّ و قُر / نه در او نفعِ زمین ، نه قوتِ بُر,نیز صورت ظاهر مانند ابر خالی از بارانی است که تُندَر و سَر و صدا دارد ولی نه برای زمین سود دارد و گندم و سایر محصولات پدید می آورد . 
60,1058) همچو وعدۀ مکر و گفتارِ دروغ / آخِرش رسوا و اوّل با فروغ,همچنین صورت ظاهر مانند وعده های مکرآمیز و سخنان دروغین است . هر چند در ابتدا جلوه و زرق و برقی دارند . ولی سرانجام موجبِ رسوایی و بَدنامی می شوند
61,1059) بعد از آن بگرفت او دستِ بِلال / آن ز زخمِ ضِرسِ محنت چون خِلال,سپس ابوبکر دست بلال را گرفت . همان بلالی که از گزیدن دندانِ محنت و بلا مانندِ چوبِ خلال دندان باریک شده بود . 
62,1060) شد خِلالی ، در دهانی راه یافت / جانبِ شیرین زبانی می شتافت,بلال که همچون چوبِ خلال ، باریک شده بود به دهانی راه پیدا کرد . اینک به سوی شخصی شیرین کلام یعنی پیامبر (ص) راه می یافت .
63,1061) چون بدید آن خسته ، رویِ مصطفی / خَرَّ مَغشِیّاََ فتاد او بر قَفا,همینکه بلال مجروح ، رُخسار محمّد مصطفی (ص) را دید بیهوش شد و طاقباز روی زمین افتاد . 
64,1062) تا به دیری بی خود و بی خویش ماند / چون به خویش آمد ، ز شادی اشک راند,بلال تا دیر زمانی در حالت محو و استغراق روی زمین افتاد و همینکه به خود آمد از شدّت شادی به گریه درآمد 
65,1063) مصطفی اش در کنارِ خود کشید / کس چه داند بخششی کو را رسید ؟,مصطفی (ص) او را در آغوش خود کشید . کسی چه می داند که با این دیدار چه موهبتی به بلال رسید ؟
66,1064) چون بُوَد مَسّی که بر اِکسیر زد ؟ / مُفلسی بر گنجِ پُر توفیر زد ؟,مِسی که با کیمیا برخورد کند چه حالی می یابد ؟ مسلماََ به طلا تبدیل می شود و ارتقای ماهُوی پیدا می کند . یا مثلاََ فقیری که به گنجینه ای سرشار دست یازد چه حالی پیدا می کند ؟ 
67,1065) ماهی پژمرده در بحر اوفتاد / کاروانِ گم شده زد بر رَشاد,گویی که مثلاََ ماهی نیمه جانی به دریا راه یافته است . و یا کاروانِ گمگشته راهی ، راه را پیدا کرده است .
68,1066) آن خِطاباتی که گفت آن دَم نَبی / گر زند بر شب ، برآید از شبی,آن گفتارهایی که پیامبر (ص) در آن لحظه به بلال فرمود . اگر به شب بگوید . شب از شب بودن بیرون می آید .
69,1067) روزِ روشن گردد آن شب چون صَباح / من نتانم باز گفت آن اصطلاح,آن شب ، همچون بامداد ، روشن می گردد . من قادر نیستم آن عبارات را بازگو کنم .
70,1068) خود تو دانی ، کآفتابی در حَمَل / تا چه گوید با نبات و با دَقَل,تو خود نیک می دانی که آفتاب در موسم بهار به سبزه ها و میوه های کال چه می گوید .
71,1069) خود تو دانی هم که آن آبِ زُلال / می چه گوید با رَیاحین و نهال,تو خود نیک می دانی که آبِ زُلال به گلها و درختانِ نُو رُسته چه می گوید .
72,1070) صنعِ حق با جمله اجزایِ جهان / چون دَم و حرف است از افسونگران,فعلِ خلّاقِ الهی بر همه ذرّات و کائنات جهان مانندِ افسون و اورادِ افسونگران اثر می گذارد . یعنی بطور شگفت انگیزی به ذرّات و موجودات جهان ، حیات و نشاط می بخشد .
73,1071) جذبِ یزدان با اثرها و سبب / صد سخن گوید نهان بی حرف و لب,جاذبۀ خداوند بدون حرف و سخنی از طریق آثار و اسباب ، سخنان بسیار گوید .
74,1072) نه که تأثیر از قَدَر معمول نیست / لیک تأثیرش از او معقول نیست,اینطور نیست که تأثیرات و تحولاتی که در عرصۀ هستی پیدا می شود ناشی از تقدیر الهی نباشد . ولی چگونگی این تأثیرات و تحولات از حیطۀ ادراک بشری فراتر است .
75,1073) چون مُقلِّد بود عقل اندر اُصول / دان مُقلِّد در فُروعش ، ای فَضول,از آنرو که عقل جزئی و سطحی اندیش در اصول ، مقلّد است . ای یاوه گو بدان که در فروع نیز مقلّد است .
76,1074) گر بپرسد عقل چون باشد مرام ؟ /  گو چنانکه تو ندانی ,هرگاه عقلِ جزئی از حقایقِ مافوقِ ادراکش سؤال کرد و گفت آن حقایق چیست ؟ در جوابش بگو : تو را نرسد که آن را درک کنی .
77,989) مصطفی گفتش که ای اقبال جُو / اندرین من می شوم انبازِ تو,مصطفی (ص) به ابوبکر فرمود : ای جویندۀ دولت و اقبال معنوی ، در این داد و ستد من نیز شریک تو می شوم .
78,990) تو وکیلم باش ، نیمی بهرِ من / مشتری شو ، قبض کن از من ثَمَن,تو وکیل من باش و نصف بهای او را از جانب من بپرداز و سپس بهای آن  را از من بگیر .
79,991) گفت : صد خدمت کنم ، رفت آن زمان / سویِ خانۀ آن جهودِ بی امان,ابوبکر گفت : صد بار خدمت می کنم به رویِ چشم . و در همان لحظه  بدون هیچ معطلی به طرف خانۀ آن کافر یعنی صاحب بلال رفت .
80,992) گفت با خود کز کفِ طفلان گُهر / بس توان آسان خریدن ای پدر,ابوبکر در اثنای راه پیشِ خود گفت : پدر جان ، گوهر را از دست کودکان براحتی می توان خرید 
81,993) عقل و ایمان را از این طفلانِ گول / می خرد با مُلکِ دنیا دیوِ غول,شیطان فریفتار به وسیلۀ متاع دنیا ، عقل و ایمان را از این کودکانِ ابله می خرد .
82,994) آنچنان زینت دهد مُردار را / که خَرَد ز ایشان دو صد گُلزار را,مُردار را چنان می آراید . یعنی شیطان دنیا را که به منزلۀ مُردار است چنان زینت می بخشد که به ازای آن گلستان های فراوانی را ار آنان می خَرد .
83,995) آنچنان مهتاب بنماید به سِحر / کز خَسان صد کیسه بِرباید به سِحر,مهتاب را با جادو چنان نشان می دهد که از دست مردمان فرومایه صد کیسه می رباید . 
84,996) انبیاشان تاجری آموختند / پیشِ ایشان شمعِ دین افروختند,پیامبران راه تجارت را به اطفال دنیا تعلیم داده اند و در برابر آنان شمع دین و ایمان روشن کرده اند 
85,997) دیو و غولِ ساحر از سِحر و نبرد / انبیا را در نظرشان زشت کرد,امّا شیطان و غولِ جادوگر بوسیلۀ جادو و عناد پیامبران را نظرشان زشت جلوه داده اند .
86,998) زشت گرداند به جادویی عدو / تا طلاق افتد میانِ جُفت و شُو,دشمن بوسیلۀ جادو ، زن و شوهر را در نظر یکدیگر بد جلوه می دهد تا میان زن و شوهر طلاق رُخ دهد .
87,999) دیده هاشان را به سِحری دوختند / تا چنین جوهر به خَس بفروختند,شیاطین بوسیلۀ سِحر و جادو چشم دلِ اهل دنیا را بستند تا آنکه سرانجام چنین گوهر گرانقدری را  به چیزی حقیر و بی ارزش فروختند . 
